yr,mon,u_carrier,delay_type,type_count
2010,10,9E,None,12503
2010,10,9E,Slight,2084
2010,10,9E,Moderate,997
2010,10,9E,Severe,827
2010,10,AA,None,39237
2010,10,AA,Slight,11329
2010,10,AA,Moderate,3979
2010,10,AA,Severe,2920
2010,10,AS,None,8867
2010,10,AS,Slight,1681
2010,10,AS,Moderate,520
2010,10,AS,Severe,336
2010,10,B6,None,12044
2010,10,B6,Slight,3321
2010,10,B6,Moderate,1736
2010,10,B6,Severe,1748
2010,10,CO,None,16751
2010,10,CO,Slight,9462
2010,10,CO,Moderate,2180
2010,10,CO,Severe,1168
2010,10,DH,None,0
2010,10,DH,Slight,0
2010,10,DH,Moderate,0
2010,10,DH,Severe,0
2010,10,DL,None,53890
2010,10,DL,Slight,19623
2010,10,DL,Moderate,7778
2010,10,DL,Severe,5023
2010,10,EV,None,14994
2010,10,EV,Slight,3221
2010,10,EV,Moderate,2158
2010,10,EV,Severe,2187
2010,10,F9,None,6219
2010,10,F9,Slight,2326
2010,10,F9,Moderate,718
2010,10,F9,Severe,438
2010,10,FL,None,19207
2010,10,FL,Slight,2747
2010,10,FL,Moderate,1037
2010,10,FL,Severe,916
2010,10,HA,None,382
2010,10,HA,Slight,138
2010,10,HA,Moderate,28
2010,10,HA,Severe,20
2010,10,HP,None,0
2010,10,HP,Slight,0
2010,10,HP,Moderate,0
2010,10,HP,Severe,0
2010,10,KH,None,0
2010,10,KH,Slight,0
2010,10,KH,Moderate,0
2010,10,KH,Severe,0
2010,10,MQ,None,29629
2010,10,MQ,Slight,5650
2010,10,MQ,Moderate,2673
2010,10,MQ,Severe,1627
2010,10,NW,None,0
2010,10,NW,Slight,0
2010,10,NW,Moderate,0
2010,10,NW,Severe,0
2010,10,OH,None,8282
2010,10,OH,Slight,637
2010,10,OH,Moderate,767
2010,10,OH,Severe,778
2010,10,OO,None,35163
2010,10,OO,Slight,8270
2010,10,OO,Moderate,3930
2010,10,OO,Severe,3509
2010,10,TZ,None,0
2010,10,TZ,Slight,0
2010,10,TZ,Moderate,0
2010,10,TZ,Severe,0
2010,10,UA,None,32131
2010,10,UA,Slight,5534
2010,10,UA,Moderate,2218
2010,10,UA,Severe,1998
2010,10,US,None,31938
2010,10,US,Slight,7439
2010,10,US,Moderate,2431
2010,10,US,Severe,1736
2010,10,VX,None,0
2010,10,VX,Slight,0
2010,10,VX,Moderate,0
2010,10,VX,Severe,0
2010,10,WN,None,22363
2010,10,WN,Slight,25291
2010,10,WN,Moderate,11963
2010,10,WN,Severe,5389
2010,10,XE,None,24461
2010,10,XE,Slight,3756
2010,10,XE,Moderate,1744
2010,10,XE,Severe,1728
2010,10,YV,None,9740
2010,10,YV,Slight,821
2010,10,YV,Moderate,519
2010,10,YV,Severe,638
2010,11,9E,None,11646
