yr,mon,dep_hour,delay_type,type_count
2010,9,12,Moderate,2706
2010,9,12,Severe,1722
2010,9,13,None,24244
2010,9,13,Slight,7251
2010,9,13,Moderate,2929
2010,9,13,Severe,1761
2010,9,14,None,20663
2010,9,14,Slight,7299
2010,9,14,Moderate,3173
2010,9,14,Severe,1745
2010,9,15,None,22204
2010,9,15,Slight,7885
2010,9,15,Moderate,3265
2010,9,15,Severe,2249
2010,9,16,None,21035
2010,9,16,Slight,7082
2010,9,16,Moderate,3445
2010,9,16,Severe,2236
2010,9,17,None,21576
2010,9,17,Slight,7935
2010,9,17,Moderate,3632
2010,9,17,Severe,2660
2010,9,18,None,20917
2010,9,18,Slight,6620
2010,9,18,Moderate,3385
2010,9,18,Severe,2590
2010,9,19,None,18974
2010,9,19,Slight,6256
2010,9,19,Moderate,3417
2010,9,19,Severe,2678
2010,9,20,None,11598
2010,9,20,Slight,3602
2010,9,20,Moderate,2144
2010,9,20,Severe,1666
2010,9,21,None,10728
2010,9,21,Slight,3301
2010,9,21,Moderate,1638
2010,9,21,Severe,1224
2010,9,22,None,5431
2010,9,22,Slight,1406
2010,9,22,Moderate,500
2010,9,22,Severe,413
2010,9,23,None,1569
2010,9,23,Slight,517
2010,9,23,Moderate,200
2010,9,23,Severe,143
2010,10,0,None,647
2010,10,0,Slight,175
2010,10,0,Moderate,58
2010,10,0,Severe,26
2010,10,1,None,308
2010,10,1,Slight,48
2010,10,1,Moderate,3
2010,10,1,Severe,9
2010,10,2,None,51
2010,10,2,Slight,7
2010,10,2,Moderate,2
2010,10,2,Severe,1
2010,10,3,None,26
2010,10,3,Slight,2
2010,10,3,Moderate,0
2010,10,3,Severe,1
2010,10,4,None,0
2010,10,4,Slight,0
2010,10,4,Moderate,0
2010,10,4,Severe,0
2010,10,5,None,4182
2010,10,5,Slight,506
2010,10,5,Moderate,94
2010,10,5,Severe,93
2010,10,6,None,33343
2010,10,6,Slight,4607
2010,10,6,Moderate,881
2010,10,6,Severe,770
2010,10,7,None,31771
2010,10,7,Slight,5768
2010,10,7,Moderate,1491
2010,10,7,Severe,986
2010,10,8,None,31064
2010,10,8,Slight,6837
2010,10,8,Moderate,1926
2010,10,8,Severe,1266
2010,10,9,None,25872
2010,10,9,Slight,6934
2010,10,9,Moderate,2217
2010,10,9,Severe,1413
2010,10,10,None,26134
2010,10,10,Slight,8002
2010,10,10,Moderate,2606
2010,10,10,Severe,1720
2010,10,11,None,24270
2010,10,11,Slight,7768
2010,10,11,Moderate,2776
2010,10,11,Severe,1888
2010,10,12,None,24597
2010,10,12,Slight,7595
2010,10,12,Moderate,3280
2010,10,12,Severe,2119
2010,10,13,None,23763
2010,10,13,Slight,8089
2010,10,13,Moderate,3323
2010,10,13,Severe,2289
2010,10,14,None,20087
2010,10,14,Slight,8241
2010,10,14,Moderate,3598
2010,10,14,Severe,2432
2010,10,15,None,21337
2010,10,15,Slight,8265
2010,10,15,Moderate,3897
2010,10,15,Severe,2817
2010,10,16,None,20621
2010,10,16,Slight,8003
2010,10,16,Moderate,3990
2010,10,16,Severe,2952
2010,10,17,None,21148
2010,10,17,Slight,8398
2010,10,17,Moderate,4455
2010,10,17,Severe,3021
2010,10,18,None,19922
2010,10,18,Slight,7252
2010,10,18,Moderate,3853
2010,10,18,Severe,2898
2010,10,19,None,19119
2010,10,19,Slight,7056
2010,10,19,Moderate,3938
2010,10,19,Severe,2921
2010,10,20,None,11412
2010,10,20,Slight,4169
2010,10,20,Moderate,2436
2010,10,20,Severe,1734
2010,10,21,None,10906
2010,10,21,Slight,3694
2010,10,21,Moderate,1789
2010,10,21,Severe,1228
2010,10,22,None,5543
2010,10,22,Slight,1489
2010,10,22,Moderate,578
2010,10,22,Severe,327
2010,10,23,None,1678
2010,10,23,Slight,425
2010,10,23,Moderate,185
2010,10,23,Severe,75
2010,11,0,None,674
2010,11,0,Slight,238
2010,11,0,Moderate,95
2010,11,0,Severe,31
2010,11,1,None,228
2010,11,1,Slight,69
2010,11,1,Moderate,22
2010,11,1,Severe,14
2010,11,2,None,52
2010,11,2,Slight,24
2010,11,2,Moderate,5
2010,11,2,Severe,4
2010,11,3,None,9
2010,11,3,Slight,1
2010,11,3,Moderate,3
2010,11,3,Severe,1
2010,11,4,None,50
2010,11,4,Slight,2
2010,11,4,Moderate,3
2010,11,4,Severe,2
2010,11,5,None,3784
2010,11,5,Slight,516
2010,11,5,Moderate,107
2010,11,5,Severe,81
2010,11,6,None,32553
2010,11,6,Slight,5034
2010,11,6,Moderate,981
2010,11,6,Severe,740
2010,11,7,None,30016
2010,11,7,Slight,5550
2010,11,7,Moderate,1428
2010,11,7,Severe,839
2010,11,8,None,28790
2010,11,8,Slight,6541
2010,11,8,Moderate,1926
2010,11,8,Severe,1121
2010,11,9,None,24130
2010,11,9,Slight,6599
2010,11,9,Moderate,2162
2010,11,9,Severe,1146
2010,11,10,None,24397
2010,11,10,Slight,7349
2010,11,10,Moderate,2729
2010,11,10,Severe,1440
2010,11,11,None,23807
2010,11,11,Slight,7904
2010,11,11,Moderate,3094
2010,11,11,Severe,1532
2010,11,12,None,22162
2010,11,12,Slight,7376
2010,11,12,Moderate,3042
2010,11,12,Severe,1714
2010,11,13,None,23069
2010,11,13,Slight,8132
2010,11,13,Moderate,3508
2010,11,13,Severe,2035
2010,11,14,None,19514
2010,11,14,Slight,7713
2010,11,14,Moderate,3508
2010,11,14,Severe,1960
2010,11,15,None,19506
2010,11,15,Slight,7559
2010,11,15,Moderate,3748
2010,11,15,Severe,2190
2010,11,16,None,20170
2010,11,16,Slight,7713
2010,11,16,Moderate,4119
2010,11,16,Severe,2605
2010,11,17,None,21166
2010,11,17,Slight,8213
