yr,mon,u_carrier,delay_type,type_count
2010,10,AA,Moderate,4361
2010,10,AA,Severe,2896
2010,10,AS,None,7663
2010,10,AS,Slight,2543
2010,10,AS,Moderate,835
2010,10,AS,Severe,363
2010,10,B6,None,10364
2010,10,B6,Slight,4151
2010,10,B6,Moderate,2421
2010,10,B6,Severe,1913
2010,10,CO,None,19152
2010,10,CO,Slight,6748
2010,10,CO,Moderate,2446
2010,10,CO,Severe,1215
2010,10,DH,None,0
2010,10,DH,Slight,0
2010,10,DH,Moderate,0
2010,10,DH,Severe,0
2010,10,DL,None,53920
2010,10,DL,Slight,18494
2010,10,DL,Moderate,8871
2010,10,DL,Severe,5029
2010,10,EV,None,14805
2010,10,EV,Slight,3516
2010,10,EV,Moderate,2218
2010,10,EV,Severe,2021
2010,10,F9,None,6236
2010,10,F9,Slight,2224
2010,10,F9,Moderate,792
2010,10,F9,Severe,449
2010,10,FL,None,17738
2010,10,FL,Slight,3981
2010,10,FL,Moderate,1260
2010,10,FL,Severe,928
2010,10,HA,None,306
2010,10,HA,Slight,174
2010,10,HA,Moderate,68
2010,10,HA,Severe,20
2010,10,HP,None,0
2010,10,HP,Slight,0
2010,10,HP,Moderate,0
2010,10,HP,Severe,0
2010,10,KH,None,0
2010,10,KH,Slight,0
2010,10,KH,Moderate,0
2010,10,KH,Severe,0
2010,10,MQ,None,27486
2010,10,MQ,Slight,7249
2010,10,MQ,Moderate,2996
2010,10,MQ,Severe,1848
2010,10,NW,None,0
2010,10,NW,Slight,0
2010,10,NW,Moderate,0
2010,10,NW,Severe,0
2010,10,OH,None,5709
2010,10,OH,Slight,2487
2010,10,OH,Moderate,1362
2010,10,OH,Severe,906
2010,10,OO,None,32607
2010,10,OO,Slight,10493
2010,10,OO,Moderate,4357
2010,10,OO,Severe,3415
2010,10,TZ,None,0
2010,10,TZ,Slight,0
2010,10,TZ,Moderate,0
2010,10,TZ,Severe,0
2010,10,UA,None,33069
2010,10,UA,Slight,4693
2010,10,UA,Moderate,2302
2010,10,UA,Severe,1817
2010,10,US,None,27638
2010,10,US,Slight,9469
2010,10,US,Moderate,4494
2010,10,US,Severe,1943
2010,10,VX,None,0
2010,10,VX,Slight,0
2010,10,VX,Moderate,0
2010,10,VX,Severe,0
2010,10,WN,None,33559
2010,10,WN,Slight,16859
2010,10,WN,Moderate,9794
2010,10,WN,Severe,4794
2010,10,XE,None,22059
2010,10,XE,Slight,5760
2010,10,XE,Moderate,2139
2010,10,XE,Severe,1731
2010,10,YV,None,7970
2010,10,YV,Slight,2356
2010,10,YV,Moderate,723
